name,continent_name,city,country
Courtyard by Marriott Xi'an North,Asia,Xi'an,China
Sheraton Xi'an Hotel,Asia,Xi'an,China
Hilton Xi'an,Asia,Xi'an,China
"The Fairway Place, Xi'an - Marriott Executive Apartments",Asia,Xi'an,China
Grand Mercure Xian on Renmin Square,Asia,Xi'an,China
Eastern House Boutique Hotel,Asia,Xi'an,China
Le Meridien Xi'an Chanba,Asia,Xi'an,China
Jinmao Hotel Xi'an Central,Asia,Xi'an,China
Gran Melia Xi'an,Asia,Xi'an,China
HUALUXE Xi'an Hi-Tech Zone,Asia,Xi'an,China
Holiday Inn Express Xi'an North Hotel,Asia,Xi'an,China
InterContinental Xi’an North,Asia,Xi'an,China
Crowne Plaza Xi'an,Asia,Xi'an,China
Wyndham Grand Xian South,Asia,Xi'an,China
Somerset Xindicheng Xi'an,Asia,Xi'an,China
InterContinental Century City Hotel Chengdu,Asia,Chengdu,China
InterContinental Global Center,Asia,Chengdu,China
Holiday Inn Chengdu Century City- West Tower,Asia,Chengdu,China
InterContinental Residences Chengdu City Center,Asia,Chengdu,China
The St. Regis Chengdu,Asia,Chengdu,China
Niccolo Chengdu,Asia,Chengdu,China
Minyoun Chengdu Dongda Hotel,Asia,Chengdu,China
Canopy by Hilton Chengdu City Centre,Asia,Chengdu,China
The Temple House,Asia,Chengdu,China
Crowne Plaza Chengdu Wenjiang,Asia,Chengdu,China
Diaoyutai Boutique Hotel Chengdu,Asia,Chengdu,China
Shangri-La Hotel Chengdu,Asia,Chengdu,China
"The Ritz-Carlton, Chengdu",Asia,Chengdu,China
Waldorf Astoria Chengdu,Asia,Chengdu,China
Holiday Inn Chengdu Century City-East Tower,Asia,Chengdu,China
JW Marriott Hotel Chengdu,Asia,Chengdu,China
Fairmont Chengdu,Asia,Chengdu,China
Millennium Hotel,Asia,Chengdu,China
Chengdu Marriott Hotel Financial Centre,Asia,Chengdu,China
JinJiang Hotel,Asia,Chengdu,China
Ascott Raffles City Chengdu,Asia,Chengdu,China
Crowne Plaza Chengdu West,Asia,Chengdu,China
Wanda Reign Chengdu,Asia,Chengdu,China
Hyatt Place Chengdu Pebble Walk,Asia,Chengdu,China
Kempinski Hotel Chengdu,Asia,Chengdu,China
Hilton Chengdu,Asia,Chengdu,China
Wyndham Grand Plaza Royale Palace Chengdu,Asia,Chengdu,China
Howard Johnson Hi-Tech Plaza Chengdu,Asia,Chengdu,China
Hyatt House Chengdu Pebble Walk,Asia,Chengdu,China
Renaissance Chengdu Hotel,Asia,Chengdu,China
Vinpearl Luxury Landmark 81,Asia,Ho Chi Minh City,Vietnam
The Myst Dong Khoi,Asia,Ho Chi Minh City,Vietnam
Silverland Yen Hotel,Asia,Ho Chi Minh City,Vietnam
Maison De Camille,Asia,Ho Chi Minh City,Vietnam
Fusion Suites Saigon,Asia,Ho Chi Minh City,Vietnam
Liberty Central Saigon Citypoint Hotel,Asia,Ho Chi Minh City,Vietnam
Prague Airport Hotel,Asia,Ho Chi Minh City,Vietnam
Le Meridien Saigon,Asia,Ho Chi Minh City,Vietnam
Muong Thanh Grand Saigon Centre Hotel,Asia,Ho Chi Minh City,Vietnam
Lotus Central Hotel,Asia,Ho Chi Minh City,Vietnam
Pullman Saigon Centre,Asia,Ho Chi Minh City,Vietnam
Grand Silverland Hotel & SPA,Asia,Ho Chi Minh City,Vietnam
Hotel Grand Saigon,Asia,Ho Chi Minh City,Vietnam
Silverland Sakyo Hotel & Spa,Asia,Ho Chi Minh City,Vietnam
Liberty Central Saigon Riverside Hotel,Asia,Ho Chi Minh City,Vietnam
Mia Saigon Luxury Boutique Hotel,Asia,Ho Chi Minh City,Vietnam
Hotel Nikko Saigon,Asia,Ho Chi Minh City,Vietnam
Sanouva Saigon Hotel,Asia,Ho Chi Minh City,Vietnam
Icon Saigon - Luxury Design Hotel,Asia,Ho Chi Minh City,Vietnam
The Chill Suites City Center,Asia,Ho Chi Minh City,Vietnam
Duc Vuong Hotel,Asia,Ho Chi Minh City,Vietnam
Hotel Continental Saigon,Asia,Ho Chi Minh City,Vietnam
Sunrise Central Hotel,Asia,Ho Chi Minh City,Vietnam
Cabana Hotel Saigon,Asia,Ho Chi Minh City,Vietnam
Akoya Saigon Central Hotel,Asia,Ho Chi Minh City,Vietnam
Hotel Majestic Saigon,Asia,Ho Chi Minh City,Vietnam
Tan Hoang Long Hotel,Asia,Ho Chi Minh City,Vietnam
Central Palace Hotel,Asia,Ho Chi Minh City,Vietnam
Cozrum Lux Hotel,Asia,Ho Chi Minh City,Vietnam
Saigon Sparkle Hotel,Asia,Ho Chi Minh City,Vietnam
Sponsored      Royal Orchid Sheraton Hotel & Towers,Asia,Bangkok,Thailand
The Quarter Phromphong By UHG,Asia,Bangkok,Thailand
The Quarter Ari by UHG,Asia,Bangkok,Thailand
Sindhorn Midtown Hotel Bangkok,Asia,Bangkok,Thailand
Novotel Bangkok Platinum Pratunam,Asia,Bangkok,Thailand
Carlton Hotel Bangkok Sukhumvit,Asia,Bangkok,Thailand
Sponsored      Bed Station Hostel,Asia,Bangkok,Thailand
The Quarter Ladprao by UHG,Asia,Bangkok,Thailand
Centara Grand at Central Plaza Ladprao Bangkok,Asia,Bangkok,Thailand
Novotel Bangkok on Siam Square,Asia,Bangkok,Thailand
Evergreen Place Siam by UHG,Asia,Bangkok,Thailand
Alt Hotel Nana by UHG,Asia,Bangkok,Thailand
Siri Sathorn Bangkok by UHG,Asia,Bangkok,Thailand
Hilton Sukhumvit Bangkok,Asia,Bangkok,Thailand
Asoke Residence Sukhumvit by UHG,Asia,Bangkok,Thailand
Millennium Hilton Bangkok,Asia,Bangkok,Thailand
Picnic Hotel Bangkok,Asia,Bangkok,Thailand
Royal Orchid Sheraton Hotel & Towers,Asia,Bangkok,Thailand
Amari Don Muang Airport Bangkok,Asia,Bangkok,Thailand
Craftsman Bangkok,Asia,Bangkok,Thailand
Ibis Bangkok Sukhumvit 24,Asia,Bangkok,Thailand
Vince Hotel,Asia,Bangkok,Thailand
Al Meroz Hotel Bangkok,Asia,Bangkok,Thailand
ibis Bangkok Siam,Asia,Bangkok,Thailand
Baiyoke Sky Hotel,Asia,Bangkok,Thailand
The Berkeley Hotel Pratunam,Asia,Bangkok,Thailand
Hotel Verve,Asia,Bangkok,Thailand
OYO 564 Nature Boutique Hotel,Asia,Bangkok,Thailand
Vib Best Western Sanam Pao,Asia,Bangkok,Thailand
Tongtara Hotel,Asia,Bangkok,Thailand
Prom Ratchada Hotel,Asia,Bangkok,Thailand
Grand Tower Inn Rama VI,Asia,Bangkok,Thailand
Roseate House New Delhi,Asia,New Delhi,India
The Roseate New Delhi,Asia,New Delhi,India
Hotel Novotel New Delhi Aerocity,Asia,New Delhi,India
Pullman New Delhi Aerocity,Asia,New Delhi,India
Holiday Inn New Delhi International Airport,Asia,New Delhi,India
Radisson Blu Plaza Delhi Airport,Asia,New Delhi,India
JW Marriott Hotel New Delhi Aerocity,Asia,New Delhi,India
The Leela Palace New Delhi,Asia,New Delhi,India
Hilton Garden Inn New Delhi / Saket,Asia,New Delhi,India
WelcomHotel Dwarka,Asia,New Delhi,India
"ITC Maurya, a Luxury Collection Hotel, New Delhi",Asia,New Delhi,India
Andaz Delhi,Asia,New Delhi,India
Eros Hotel,Asia,New Delhi,India
"Taj Palace, New Delhi",Asia,New Delhi,India
"Lemon Tree Premier, Delhi Airport",Asia,New Delhi,India
"Red Fox Hotel, Delhi Airport",Asia,New Delhi,India
The Claridges Hotel,Asia,New Delhi,India
Ginger East Delhi,Asia,New Delhi,India
Radisson Blu Hotel New Delhi Dwarka,Asia,New Delhi,India
The Muse Sarovar Portico New Delhi Kapashera,Asia,New Delhi,India
The Lodhi,Asia,New Delhi,India
"Pride Plaza Hotel Aerocity, New Delhi",Asia,New Delhi,India
ibis New Delhi Aerocity,Asia,New Delhi,India
The Park New Delhi,Asia,New Delhi,India
Hyatt Regency Delhi,Asia,New Delhi,India
Park Inn By Radisson New Delhi IP Extension,Asia,New Delhi,India
Taurus Sarovar Portico,Asia,New Delhi,India
Radisson Blu Marina Connaught Place,Asia,New Delhi,India
Park Inn by Radisson New Delhi Lajpat Nagar,Asia,New Delhi,India
Jaypee Siddharth,Asia,New Delhi,India
"Jinmao Hotel Lijiang, The Unbound Collection By Hyatt",Asia,Lijiang,China
Lvye An Jia,Asia,Lijiang,China
Hilton Garden Inn Lijiang,Asia,Lijiang,China
Plateau Pearl Hotel (Lijiang Ancient Town Branch),Asia,Lijiang,China
Guanfang Hotel Garden Villa,Asia,Lijiang,China
Lijiang Jun Bo Xuan Boutique Guesthouse,Asia,Lijiang,China
Baisha Holiday Resort Lijiang,Asia,Lijiang,China
Lijiang Lize Graceland Merry Inn,Asia,Lijiang,China
Pullman Lijiang Resort & Spa,Asia,Lijiang,China
InterContinental Lijiang Ancient Town Resort,Asia,Lijiang,China
Hotel Indigo Lijiang Ancient Town,Asia,Lijiang,China
Songtsam Lijiang Linka,Asia,Lijiang,China
Liman Wenzhi No.1 Hotel,Asia,Lijiang,China
Lijiang Garden Inn,Asia,Lijiang,China
Amandayan,Asia,Lijiang,China
Runjing Wenchanggong Hotel,Asia,Lijiang,China
Lijiang Lize Graceland Artistic Suite Inn,Asia,Lijiang,China
Banyan Tree Lijiang,Asia,Lijiang,China
LUX* Tea Horse Road Lijiang,Asia,Lijiang,China
Jinmao Purelax Mountain Hotel Lijiang,Asia,Lijiang,China
The Bivou,Asia,Lijiang,China
Arro Khampa by Zinc Journey Lijiang,Asia,Lijiang,China
Qingxi Inn,Asia,Lijiang,China
Howard Johnson Jinlin Plaza Lijiang,Asia,Lijiang,China
The Bruce Chalet,Asia,Lijiang,China
Sifu Yashe Boutique Hotel,Asia,Lijiang,China
Wuer Inn,Asia,Lijiang,China
Fairy Tale Inn Branch Xinyu,Asia,Lijiang,China
Villafound Jade,Asia,Lijiang,China
Lijiang Spiritual Utopia Hotel,Asia,Lijiang,China
Sponsored      The Westin Siray Bay Resort & Spa Phuket,Asia,Phuket,Thailand
Renaissance Phuket Resort & Spa,Asia,Phuket,Thailand
The Marina Phuket Hotel,Asia,Phuket,Thailand
Centara Grand Beach Resort Phuket,Asia,Phuket,Thailand
Pullman Phuket Arcadia Naithon Beach,Asia,Phuket,Thailand
Baan Laimai Beach Resort & Spa,Asia,Phuket,Thailand
"Sponsored      Phuket Marriott Resort & Spa, Merlin Beach",Asia,Phuket,Thailand
Banyan Tree Phuket,Asia,Phuket,Thailand
Novotel Phuket Kamala Beach,Asia,Phuket,Thailand
The Chava Resort,Asia,Phuket,Thailand
The Nature Phuket,Asia,Phuket,Thailand
Burasari Phuket,Asia,Phuket,Thailand
The Shore At Katathani,Asia,Phuket,Thailand
Hotel Clover Patong Phuket,Asia,Phuket,Thailand
Wyndham Grand Phuket Kalim Bay,Asia,Phuket,Thailand
"Kantary Bay, Phuket",Asia,Phuket,Thailand
"Phuket Marriott Resort & Spa, Merlin Beach",Asia,Phuket,Thailand
Thavorn Beach Village Resort & Spa,Asia,Phuket,Thailand
The Naka Phuket,Asia,Phuket,Thailand
DoubleTree by Hilton Phuket Banthai Resort,Asia,Phuket,Thailand
Dewa Phuket,Asia,Phuket,Thailand
Palmyra Patong Resort,Asia,Phuket,Thailand
Andamantra Resort & Villa Phuket,Asia,Phuket,Thailand
Dusit Thani Laguna Phuket,Asia,Phuket,Thailand
Katathani Phuket Beach Resort,Asia,Phuket,Thailand
La Vintage Resort (Former Poppa Palace Hotel),Asia,Phuket,Thailand
EcoLoft Hotel,Asia,Phuket,Thailand
Amari Phuket,Asia,Phuket,Thailand
Cassia Phuket,Asia,Phuket,Thailand
Crest Resort & Pool Villas,Asia,Phuket,Thailand
The Boathouse Phuket,Asia,Phuket,Thailand
Sugar Palm Grand Hillside,Asia,Phuket,Thailand
The Azure Qiantang A Luxury Collection Hotel Hangzhou,Asia,Hangzhou,China
Angsana Hangzhou,Asia,Hangzhou,China
Park Hyatt Hangzhou,Asia,Hangzhou,China
Sheraton Grand Hangzhou Wetland Park Resort,Asia,Hangzhou,China
Four Seasons Hangzhou at West Lake,Asia,Hangzhou,China
Conrad Hangzhou,Asia,Hangzhou,China
Kempinski Hotel Hangzhou,Asia,Hangzhou,China
Shangri La Hotel Hangzhou,Asia,Hangzhou,China
Renaissance Hangzhou Northeast Hotel,Asia,Hangzhou,China
The East Hotel Hangzhou,Asia,Hangzhou,China
"Midtown Shangri-La,Hangzhou",Asia,Hangzhou,China
Banyan Tree Hangzhou,Asia,Hangzhou,China
Wyndham HangZhou East,Asia,Hangzhou,China
Crowne Plaza HANGZHOU HEDA,Asia,Hangzhou,China
Wyndham Grand Plaza Royale Hangzhou,Asia,Hangzhou,China
Holiday Inn Hangzhou Gongshu,Asia,Hangzhou,China
Courtyard Hangzhou Wulin,Asia,Hangzhou,China
Amanfayun,Asia,Hangzhou,China
InterContinental Hangzhou,Asia,Hangzhou,China
Le Meridien Hangzhou Binjiang,Asia,Hangzhou,China
JW Marriott Hotel Hangzhou,Asia,Hangzhou,China
Hangzhou Marriott Hotel Qianjiang,Asia,Hangzhou,China
Holiday Inn Express Hangzhou Gongshu,Asia,Hangzhou,China
Grand New Century Hotel Hangzhou Xiaoshan,Asia,Hangzhou,China
Courtyard Hangzhou West,Asia,Hangzhou,China
Holiday Inn Express Hangzhou Huanglong,Asia,Hangzhou,China
Shama Heda Hangzhou,Asia,Hangzhou,China
Dragon Hotel,Asia,Hangzhou,China
